Genome ID,pathogenicity,bacpacs,pathogenfinder,paprbag_fold1,paprbag_fold2,paprbag_fold3,paprbag_fold4,paprbag_fold5,Genome Name,Organism Name,Isolation Source,Habitat,Disease,Host Health,Other Clinical,Comments
1041522.28,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium colombiense CECT 3035 strain CECT 3035,,blood,,,HIV,,"M. colombiense infections were initially described in HIV patients in Bogot�, Colombia. In this initial study, M. colombiense was confirmed to be the causative agent of pulmonary disease and bacteraemia in this group of people who died of HIV/M. colombiense coinfection. After this study, M. colombiense has been isolated in other scenarios such as lymphadenopathy, subcutaneous infections and disseminated disease in HIV-negative patients in countries like Spain, France, China, Canada and Russia."
1196162.3,hp,hp,hp,hp,hp,hp,hp,hp,Listeria monocytogenes serotype 4b str. 10-0809 strain 10-0809,,Stool,,,Listeriosis,,Whole genome sequencing and comparison of Listeria monocytogenes Canadian food outbreaks
1196172.3,hp,nhp,hp,hp,hp,hp,hp,hp,Listeria monocytogenes serotype 4b str. 02-1289 strain 02-1289,,Stool,,,Listeriosis,,Whole genome sequencing and comparison of Listeria monocytogenes Canadian food outbreaks
1280.11681,hp,hp,hp,hp,hp,hp,hp,hp,Staphylococcus aureus strain USA300-SUR15,,Nose,,,,,The study characterizes a Staphylococcus aureus outbreak which took place in Paramaribo in the Republic of Suriname.
1280.12234,hp,hp,hp,hp,hp,hp,hp,hp,Staphylococcus aureus strain JE2,,skin and soft tissue,,,Soft Tissue Infections,,Sequence the genome of Staphylococcus aureus JE2
1302.83,hp,hp,hp,hp,hp,hp,hp,hp,Streptococcus gordonii strain FDAARGOS_257,,Blood,,,Infection with Streptococcus gordonii,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices."
1338.30,hp,hp,hp,hp,hp,hp,hp,hp,Streptococcus intermedius strain FDAARGOS_233,,Abscess,,,Abdominal abscess,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices."
1639.2624,hp,hp,hp,hp,hp,hp,hp,hp,Listeria monocytogenes strain H34,,blood and lung culture,,,neonatal sepsis,,human clinical strain
1773.8686,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium tuberculosis strain LE13,,sputum,,,Tuberculosis,,We genotyped and sequenced the complete genomes of 68 M. tuberculosisstrains isolated from unrelated TB patients in Peru. No clustering pattern of the strainswas verified based on spoligotyping. We analyzed the association between PZAresistance with non-synonymous mutations mutations and specific genes.
1773.8714,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium tuberculosis strain MDRMA2441,,sputum,,,Tuberculosis,,We genotyped and sequenced the complete genomes of 68 M. tuberculosisstrains isolated from unrelated TB patients in Peru. No clustering pattern of the strainswas verified based on spoligotyping. We analyzed the association between PZAresistance with non-synonymous mutations mutations and specific genes.
1773.8719,hp,hp,hp,hp,hp,hp,hp,hp,Mycobacterium tuberculosis strain TBDM2489,,sputum,,,Tuberculosis,,We genotyped and sequenced the complete genomes of 68 M. tuberculosisstrains isolated from unrelated TB patients in Peru. No clustering pattern of the strainswas verified based on spoligotyping. We analyzed the association between PZAresistance with non-synonymous mutations mutations and specific genes.
210.2912,hp,nhp,hp,hp,hp,hp,hp,hp,Helicobacter pylori strain F20,,Human stomach,,,,,"The gastric pathogen Helicobacter pylori infects half the human population and causes gastritis, ulcers and gastric cancer. H. pylori has co-migrated with the humans for hundreds of thousands years and shows phylogeographic diversity. To figure out the genome diversity in narrow geographic region, we sequenced the complete genome of 28 Japanese strains collected in a hospital in Fukui prefecture, Japan."
2104.189,hp,hp,hp,hp,hp,hp,hp,hp,Mycoplasma pneumoniae strain KCH-402,,throat swab,,,,,"Mycoplasma pneumoniae is one of the simplest self-replicating bacteria known and is an etiological agent of pneumoniae and bronchitis in humans. M. pneumoniae strains can be classified into two distinct lineages (subtype 1 and 2) based on their p1 gene sequence that encode a major cytadhesin protein of this bacterium. The reference strains, M129-B7 (GenBank: CP003913) and FH (GenBank: CP010546) carry subtype 1 and 2 p1 genes, respectively. In addition, several variants of p1 gene sequences are also known. The strain 309 (GenBank: AP012303) carries variant 2a (subtype 2 variant) p1 gene sequence. In this study, we have sequenced complete genome of M. pneumoniae KCH-402 strain that has variant 2b p1 gene."
2104.190,hp,hp,hp,hp,hp,hp,hp,hp,Mycoplasma pneumoniae strain KCH-405,,throat swab,,,,,"Mycoplasma pneumoniae is one of the simplest self-replicating bacteria known and is an etiological agent of pneumoniae and bronchitis in humans. M. pneumoniae strains can be classified into two distinct lineages (subtype 1 and 2) based on their p1 gene sequence that encode a major cytadhesin protein of this bacterium. The reference strains, M129-B7 (GenBank: CP003913) and FH (GenBank: CP010546) carry subtype 1 and 2 p1 genes, respectively. In addition, several variants of p1 gene sequences are also known. The strain 309 (GenBank: AP012303) carries variant 2a (subtype 2 variant) p1 gene sequence. In this study, we have sequenced complete genome of M. pneumoniae KCH-405 strain that has variant 2c p1 gene."
28131.10,hp,nhp,hp,hp,hp,hp,hp,hp,Prevotella intermedia strain OMA14,,periodontal pockets of patients with chronic periodontitis,,,,,"The Gram-negative oral anaerobe is major periodontal pathogens in human, frequently isolated from periodontal pockets of patients with chronic periodontitis. Such periodontal pathogens were identified as red and orange complex bacteria (Porphyromonas gingivalis, Tannerella forsythia, Treponema denticola, Fusobacterium nucleatum, Prevotella intermedia etc.). Previous studies indicated a number of potent virulence factors of Porphyromonas gingivalis such as cysteine proteinase, gingipains and fimbria. From genomic information of P. gingivalis, we found a novel secretion system (type IX secretion system) that translocate virulence factors to cell surface. It suggested that the genomic information was indispensable to elucidate virulence factors in other periodontal pathogens. This project try to determine the whole genome sequence of periodontal pathogens, then to elucidate there pathogenicity comprehensively."
28450.655,hp,hp,hp,hp,hp,hp,hp,hp,Burkholderia pseudomallei strain 2010007509,,clinical,,,melioidosis,,WGS was performed on Burkholderia pseudomallei isolates associated with the Western Hemisphere. The goals are to determine phylogenetic relatedness among strains and to improve molecular analysis and subtyping for better epidemiological attribution to enhance public health responses. The relevance is to improve the ability to recognize and respond to cases of melioidosis in the Western Hemisphere since we believe the disease is underreported in this hemisphere.
287.4623,hp,hp,hp,hp,hp,hp,hp,hp,Pseudomonas aeruginosa strain PB350,,sputum,,,,,complete genomes of three isogenic pairs of Pseudomonas aeruginosa clinical isolates
37326.9,hp,hp,hp,hp,hp,hp,hp,hp,Nocardia brasiliensis strain FDAARGOS_352,,"Mycetomatous lesion of the thigh, leg, and foot",,,Nocardiosis (actinomycosis),host_description:Limited motion of the knee,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available."
487.1548,hp,hp,hp,nhp,nhp,hp,nhp,hp,Neisseria meningitidis strain M26417,,Sterile site,,,bacterial meningitis,,All meningococcal disease cases among men aged 18-64 years reported to the National Notifiable Disease Surveillance System between January 2012 and June 2015 were reviewed. Characteristics of meningococcal disease cases among MSM and men not known to be MSM (non-MSM) were described. Annualized incidence rates among MSM and non-MSM were compared through calculation of the relative risk and 95% confidence intervals. Isolates from meningococcal disease cases among MSM were characterized using standard microbiological methods and whole genome sequencing.
520.529,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain H754,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.535,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain H812,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.537,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain I238,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.543,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain I763,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.546,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J018,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.572,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain I112,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.629,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain I461,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.650,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J073,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.659,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain B227,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.667,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain H698,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.670,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain H771,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.671,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J178,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.672,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J179,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.678,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J194,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.680,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J296,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.694,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain H361,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.698,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain H876,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.699,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain I093,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
520.708,hp,hp,nhp,hp,hp,hp,hp,hp,Bordetella pertussis strain J122,,,,,pertussis,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen."
